Season Number,Startup Name,Season Start,Season End,Episode Number,Episode Title,Anchor,Pitch Number,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name,Ashneer Present,Namita Present,Anupam Present,Vineeta Present,Aman Present,Peyush Present,Ghazal Present,Amit Present,Guest Present
2,GavinParis,2/1/2023,10/3/2023,26,Bharat Badal Raha Hai,Rahul Dua,230,Beauty/Fashion,Gender-Neutral Fashion,https://www.gavinparis.com/,2,2,0,0,0,,2022,Kolkata,West Bengal,114,0,60,0,50,5,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,UnStop,2/1/2023,10/3/2023,26,Bharat Badal Raha Hai,Rahul Dua,231,Technology/Software,Connecting talent colleges recruiters,https://unstop.com/,1,1,0,0,0,,2022,Delhi,Delhi,1600,0,90,0,100,1,10000,1,1,200,4,0,0,5000,4,0,0,0,0,0,50,1,0,50,1,0,0,0,0,50,1,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,BlueTea,2/1/2023,10/3/2023,26,Bharat Badal Raha Hai,Rahul Dua,232,Food,Ayurvedic Herbal Tea,https://bluetea.co.in/,2,2,0,0,0,,2018,"Faridabad,Kolkata","Haryana,West Bengal",1000,0,0,19,75,1,7500,1,1,50,3,25,12,1666.666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,TheGreenSnack,2/1/2023,10/3/2023,27,Nayi Soch Naye Vichaar,Rahul Dua,233,Food,Healthy Snacks Online,https://thegreensnackco.com/,2,1,1,0,1,,2017,Mumbai,Maharashtra,-1,25,0,0,100,2,5000,1,1,100,8,0,0,1250,1,0,0,0,0,0,0,0,0,0,0,0,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,HobbyIndia,2/1/2023,10/3/2023,27,Nayi Soch Naye Vichaar,Rahul Dua,234,Furnishing/Household,Online Art & Craft Store,https://hobbyindia.store/,3,1,2,0,1,,0,Surat,Gujarat,117,0,0,0,50,3,1666.666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,Flhexible,2/1/2023,10/3/2023,27,Nayi Soch Naye Vichaar,Rahul Dua,235,Furnishing/Household,Composite paper honeycomb panels,https://www.flhexible.com/,2,1,1,0,1,,2019,Jaipur,Rajasthan,16,3.5,40,25,50,7.5,666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,UpThrust,2/1/2023,10/3/2023,27,Nayi Soch Naye Vichaar,Rahul Dua,236,Sports,ESPORTS AND GAMING ORGANISATION,https://www.upthrustesports.com/,2,2,0,0,0,,0,Mumbai,Maharashtra,300,33,0,30,75,3,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,Zoff,2/1/2023,10/3/2023,28,Game Changers,Rahul Dua,237,Food,Cool Grind Technology Indian Spices,https://zofffoods.com/,2,2,0,0,0,,2018,Raipur,Chhattisgarh,0,700,0,0,100,0.5,20000,1,1,100,1.25,0,0,8000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,DesiToys,2/1/2023,10/3/2023,28,Game Changers,Rahul Dua,238,Manufacturing,Indian Traditional Toys and Indoor Games,https://www.desitoys.in/,1,0,1,0,0,,2017,Mumbai,Maharashtra,115,20,50,18,50,3,1666.666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,CloudWorx,2/1/2023,10/3/2023,28,Game Changers,Rahul Dua,239,Technology/Software,NoCode Enterprise Metaverse App Builder,http://www.cloudworx.ai/,1,1,0,0,0,,0,Bangalore,Karnataka,0,14,0,0,40,2,2000,1,1,40,3.2,0,0,1250,2,yes,0,0,0,0,20,1.6,0,20,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
